"papers_name","papers_url","papers_autor","papers_periodo"
"Antecedentes y estrategias para el combate de Diaprepes abbreviatus, plaga invasora del Caribe","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5782","Lapointe, S.L.","2004"
"¿Será el tenor de sólidos solubles totales de los frutos de Cucumis melo influenciado por Carlavirus?","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6964","Rodrígues, Sandra M.M.; Bleicher, Ervino; Nogueira, Sávio G.","2006"
"El caucho, un hongo y la guerra: los orígenes del CATIE en Turrialba","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6146","Hilje Quirós, Luko","2003"
"Redescubriendo a Alexander von Humboldt","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6762","Ezcurra, E.","2003"
"Fluctuación poblacional de Carpophilus sp. en huertos de guayaba sometidos a dos métodos de pulverización de fentión","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6330","Galli, Julio César; Senö, K.C.A.; Carareto, E.C.B.","2005"
"Efecto bioherbicida de extractos vegetales para el manejo de malezas en algodón en el Caribe Colombiano","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6098","Jarma Orozco, A.J.; Tirado G, G.R.","2004"
"Manejo de la fertilidad de suelos e insectos plaga: armonizando la salud del suelo y la salud de las plantas en los agroecosistemas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6535","Nicholls Estrada, Clara Inés; Altieri, Miguel Angel","2006"
"Abundance of soybean pests and their natural enemies in Gurupi, Brazil | Abundancia de pragas e inimigos naturais em soja na regiao de Gurupi, Brasil","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5731","Didonet, J.; Sarmento, R. de A.; Souza Aguiar, R.W. de; Santos, G.R. dos; Erasmo, E.A.L.","2003"
"Evaluación de prácticas agrícolas para el manejo de Bemisia tabaci en tomate","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6278","Salas, J.","2004"
"Tecnología agrícola y conservación biológica en el Petén, Guatemala","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6844","Ferguson, B.G.; Griffith, D.M.","2004"
"Selection of entomopathogenic fungi to control Bemisia tabaci biotype B | Seleçao de fungos entomopatogenicos para o controle de Bemisia tabaci biótipo B","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6803","Quisberth Ramos, E.; Batista Alves, S.; Demétrio, C.G.B.; Costa, S.C. da","2004"
"Artrópodos asociados con Guadua angustifolia almacenada en Pereira, Colombia","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5804","Sáenz Aponte, A.; Montoya, J.A.; Tistl, M.","2004"
"Compatibilidad de Beauveria bassiana y Metarhizium anisopliae con Nimkol-L para el combate de Heterotermes tenuis","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5919","Castiglioni, E.; Vendramim, J.D.; Alves, S.B.","2003"
"Patogenicidad del virus costarricense del mosaico dorado de Sida (SiGMCRV) en varias especies de plantas cultivadas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6643","Jovel, J.; Ruiz, E.","2003"
"Artículo I. Densidad y diversidad de nematodos fitoparásitos del cultivo de café y su relación con variables agroecológicas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/8114","Chaves Gómez, María Emérita; Avelino, Jacques; Esquivel, Alejandro; Ferris, Howard; Soto, Gabriela; Staver, Charles","2014"
